keyword,headline,publication,date,url 
Ford,"Stay away from Ford Motor shares as tariff uncertainty increases, Bernstein says",CNBC,2025-04-09 11:27:41,https://news.google.com./read/CBMitwFBVV95cUxPQ29iR1pFTnF2UXlUTGNVQi1VbDJzbjFmeVJCd0ktQmpRd2p6U0ZpNktHaVphNnVqdFZQWUFkd3BDVWpnaW1OY09hd3NSM2E3N0VNeXJOeE5yQjlwd0dWUDB1NDhDSHM5WEx5QnlXLUowUy1idjVHa0RKVWNGRm1IWGVnN0hQTWFFc2ZVb1RSaGxvdUxrcUNVZmgyTFJDUVA3YjdDczRCLUd0b1dpQTNpWFBPNkhtY00?hl=en-IN&gl=IN&ceid=IN%3Aen
Ford,Ford Stock Soars. It Still Has a Tariff Problem.,Barron's,2025-04-09 20:43:00,https://news.google.com./read/CBMid0FVX3lxTE8wSk9nVmlneGw2U3dfQWNScTlIcW9JcExhLW43elVKRElrZXBKSkNIcGNxbkFHX3NVUmpNak9wanFEZG9lZ3U4d196UVBQVDZHVWczNnEwWUxoc1BlUlFYeXNPdWNBNVV1SlNDNDgybHhaRDFyYTZB?hl=en-IN&gl=IN&ceid=IN%3Aen
Ford,Ford Motor Co: Navigating Market Trends with Steady Performance,apnakal.com,2025-04-10 01:50:58,https://news.google.com./read/CBMimgFBVV95cUxOYXUxV3pDQXJlQjBTRTd5RWVxbjlpdmxSQ19HRDkzQVZzaHltSW9GVnhuZjVaa0ZlblBsbnl4SnpTZWRWaThyUzkxSUVockNKSnVuQmxsSi1VdEtNYURKbEpOWi1HNnFudU9KMVFhRGlOQ3pIa0lhWlhYMTBwY29zQ0tyc0N0N2J3TXJRUHBJLWdHN0trUWdxdFV3?hl=en-IN&gl=IN&ceid=IN%3Aen
Ford,Ford shares fall 6% in extended trading over trimmed profit forecast,CNBC TV18,2024-10-29 07:00:00,https://news.google.com./read/CBMi2gFBVV95cUxPdnRuRHR3UnhSbUxWMG1PdENfS2M4Ukg0SVh6QlNDMDZLT3BSNXJtODM2ZjJGY0phVDREU3dKcHltUzVmYW5oRXpRX1RXMjc3b1pONVBaTmNMYkp5R2RIb19NTnBhX2hKOVRuZGJQVlg1bUh5M0I0RFdwam5rVFpQUFBSOVV1UzVrOWgtb2FBeWo4VkhBRmtOYWI2N0s2RWM1UVZjZVo2RjcybHFfRGhfTUJ0WkVhakpkalZkMzdMNUstcnF3cXlyZEhaUGNGWHdSOVRWWlQ4U0lEQdIB3wFBVV95cUxQQ28tWEJSamxKQ1BOdDMyYzVIRFpYSFZoYkFid1pueDJvTzkxbnBGdUpSTklteWlXQklRTXNCTHVHaW5EeEo1Ymo5WnEtYkVFWE1VUnpKQUFUbUgydTd5TjhXRmdXRklDRkFKRFM3NnBINThaYTVPc0VwR0NneVYtTDNSVWg2Z1Ftd3RSUko2cjQzdnpXZW5MSGpPQ2s5YWQ0TVdQNjlKOW95eXIzR2FMU09QeUJDSzhldm5OcF9mY3NpVmtCVzAyNWdVM0dfQWNuM01hcHBubzgtZmpOTWxz?hl=en-IN&gl=IN&ceid=IN%3Aen
Ford,Ford shares take a hit as Donald Trump’s tariff war disrupts US auto industry,The Economic Times,2025-02-03 08:00:00,https://news.google.com./read/CBMi5wFBVV95cUxOMjUyZ29hNXFVa1ZSaFpNQ3E0ZFFNTlpYZ25GMVNDYkFOTGhaUGtFWlVBa3JDcEQ2NGtyWVB4R2JDOVZ6RFdMNWtPMFY2eklvYk5KLTBFd21IZlhRWUtURXZLOV9MdUNHMGpGZlYxWkZ5OWNoWllTU0RRM3QxT3djWWpRd3pwdXBtQ0lDaS13U2Z5N1FDMlN6d182cU9FX04tZ2hrdFdVdEE5MUI5YXNfTHZpbl9YM2c3MWNUMG1UanBXdVhHS1lfMW9lTmxrOFlwN0dOUkFDVnNGb0owQkc5Q2ZfcDJJWU3SAewBQVVfeXFMTWtwbm5td2tSY1hvOWZDVlZmZlBrMUs3ZFh0NldKem5nTDRsR1JYWTNXZFNiMUlpVFZkbU0yTzQ1dm0wTUl3bHlWTF9iaUxDV0ZOMlZMZGdnS01NLWxIVmJiaHNwUVZtVllWT19WZjNxZ1N2YzZjbWx6aUpTNzNqbXVSekNWUDFZTm1LekF2RTd3c3dJN04taXdhaF9UQ1pyelFYRGx3LVhSSnkySTVTU3cxUkVfdVJkelQwSUZuZkRjbHhHVExkWFkxNkttbWZiSG9zMnFVbm82c0xXZldIZ0JxallDSy1jRURVR0s?hl=en-IN&gl=IN&ceid=IN%3Aen
Ford,What's Going On With Ford Shares Thursday?,Benzinga,2025-03-27 14:51:33,https://news.google.com./read/CBMihgFBVV95cUxOaFp1ejBpcDBRLTRXWHRjMXppUGRlWGJWM2phVUl4TTBteWYwYUdDb2dZZ3RtX2dQd3BJdktPa0R0bmNKb3gzaWpHV3c0Z290U0IzNDNFbDRDVUE5bnRONXc0RXFNX2tsVWIxQXphdC0wcU1jZE8zU2tmT2xiQ2ExZFc2TVNOZw?hl=en-IN&gl=IN&ceid=IN%3Aen
Ford,"GM, Ford Shares Are Cheap for a Reason as Risks Pile Up",Bloomberg,2025-02-07 08:00:00,https://news.google.com./read/CBMiqAFBVV95cUxQZ2F4eHlqYnJzNk5CalBmOWR3eE9BekFxMHpPZ29jeGJJR3ZSSDNaY2JfNjlyTkhTN3ZpUm5YWHV1SDVuOWRiSlVBZkdHS3BzX3J6b3VaTURvM1JTekVEbmdtd1IxbWxBVVJoRXZhRmRSWEprbmVjSVlvSkQ5UVN5UXNyczE5eEs1cHdGNWhqZGdSMlVvV0ZrUVQ1NE81UDdiU2k4MXVwbWM?hl=en-IN&gl=IN&ceid=IN%3Aen
Ford,Ford shares drop as supply snags and costs hurt profit forecast,Reuters,2024-10-29 07:00:00,https://news.google.com./read/CBMiwgFBVV95cUxQWEk4YWY1dk5KMWNSUzNsRjc2VEExZ2FybDFGVkdOYTRyTThteG1qazJadjh5Y1NDaktCdTNjSWJXRnF4OGM1czFPb0RNZ0RHd3QwNzcwSDhYbGh3YVJESWpOX1RrRFUtanJOUFgtVktOcmJKNDJkYVdRNjJReWRKcjRuMG4zTndKX2oxNVF4NUhYejExNXBoeHU4a0hOUGNMbzlCTTRRb1JyeDhrZl9jZUsxUkhhSFJTSS1nRnQ0NTRqQQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Ford,"Ford shares slide as automaker forecasts weaker growth, further losses for electric vehicle unit",AP News,2025-02-05 08:00:00,https://news.google.com./read/CBMioAFBVV95cUxNekJITkY5cWtRd2RqTW9mWTEyMUFLaElpRGFvbHVBNDhCcWxDTHJCNTU3Sjl1TmFnTnJsVlRZSVh1ZlRQWml4empQa0JRMDF1ckRfc1dabmQ1d2FVZTZjendIZWFuNDNXM3dSel9XLWF5OTVMbWhiZEYzRTU4Y3FSTWdHOFhoV0M1bHhKWkhXTkNIY1ZQc0xhODN3bXhBdmJf?hl=en-IN&gl=IN&ceid=IN%3Aen
Ford,Ford Stock Slips Marginally In Active Morning Session,apnakal.com,2025-04-09 14:55:32,https://news.google.com./read/CBMihAFBVV95cUxOeUdxek0yWmZlSnpybl9oVXJnWnFkaTI5SjR0R2hnUXlOczM2c1RzN2h3RWs4ektPd2N6WnBXcjJWUFZGUkwxSmVPbVIyMHNXdWFtVzJ2UzgzQ1ZCc2lROEM4UUR2LWNyVFJnS0RYUnFDamdJamFjcW83aVlYemZXcVpfQ0w?hl=en-IN&gl=IN&ceid=IN%3Aen
